tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
936,1/1/2016 0:12,1/1/2016 0:28,3175,W 70 St & Amsterdam Ave,40.77748046,-73.98288594,281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,24072,Subscriber,1951,1
404,1/1/2016 0:13,1/1/2016 0:19,3138,E 77 St & Park Ave,40.77440546,-73.96175265,3134,3 Ave & E 62 St,40.76312584,-73.96526895,22965,Subscriber,1966,1
535,1/1/2016 0:13,1/1/2016 0:22,439,E 4 St & 2 Ave,40.7262807,-73.98978041,358,Christopher St & Greenwich St,40.73291553,-74.00711384,21223,Subscriber,1971,1
557,1/1/2016 0:13,1/1/2016 0:22,363,West Thames St,40.70834698,-74.01713445,146,Hudson St & Reade St,40.71625008,-74.0091059,17569,Subscriber,1960,1
272,1/1/2016 0:13,1/1/2016 0:18,3002,South End Ave & Liberty St,40.711512,-74.015756,264,Maiden Ln & Pearl St,40.70706456,-74.00731853,21619,Subscriber,1989,1
1343,1/1/2016 0:13,1/1/2016 0:36,2003,1 Ave & E 18 St,40.73381219,-73.98054421,3147,E 85 St & 3 Ave,40.77801203,-73.95407149,24232,Subscriber,1954,2
265,1/1/2016 0:14,1/1/2016 0:18,376,John St & William St,40.70862144,-74.00722156,152,Warren St & Church St,40.71473993,-74.00910627,24119,Subscriber,1962,1
812,1/1/2016 0:14,1/1/2016 0:28,518,E 39 St & 2 Ave,40.74780373,-73.9734419,433,E 13 St & Avenue A,40.72955361,-73.98057249,14785,Subscriber,1977,1
285,1/1/2016 0:14,1/1/2016 0:19,406,Hicks St & Montague St,40.69512845,-73.99595065,391,Clark St & Henry St,40.69760127,-73.99344559,18591,Subscriber,1972,1
967,1/1/2016 0:15,1/1/2016 0:31,491,E 24 St & Park Ave S,40.74096374,-73.98602213,495,W 47 St & 10 Ave,40.76269882,-73.99301222,22478,Subscriber,1974,1
1092,1/1/2016 0:16,1/1/2016 0:34,280,E 10 St & 5 Ave,40.73331967,-73.99510132,527,E 33 St & 2 Ave,40.744023,-73.976056,15713,Subscriber,1990,2
